case_id,scheme,policy,latency_profile,seed,fault_model,due_action,log,exit,golden,campaign_mode,event_budget,event_rate,errors_fixed
C0,none,uniform,default,1,campaign,drop_frame,case_C0_none_uniform_default_seed1.log,0,golden_none_kernel_aware.csv,cell,0,1.0,0
C0,secded,kernel_aware,default,1,campaign,drop_frame,case_C0_secded_kernel_aware_default_seed1.log,0,golden_secded_kernel_aware.csv,cell,0,1.0,0
C0,chipkill,kernel_aware,default,1,campaign,drop_frame,case_C0_chipkill_kernel_aware_default_seed1.log,0,golden_chipkill_kernel_aware.csv,cell,0,1.0,0
C1,none,uniform,default,1,campaign,drop_frame,case_C1_none_uniform_default_seed1.log,0,golden_none_kernel_aware.csv,cell,8,1.0,1
C1,secded,kernel_aware,default,1,campaign,drop_frame,case_C1_secded_kernel_aware_default_seed1.log,0,golden_secded_kernel_aware.csv,cell,8,1.0,1
C1,chipkill,kernel_aware,default,1,campaign,drop_frame,case_C1_chipkill_kernel_aware_default_seed1.log,0,golden_chipkill_kernel_aware.csv,cell,8,1.0,1
C2,none,uniform,default,1,campaign,drop_frame,case_C2_none_uniform_default_seed1.log,0,golden_none_kernel_aware.csv,word,8,1.0,2
C2,secded,kernel_aware,default,1,campaign,drop_frame,case_C2_secded_kernel_aware_default_seed1.log,0,golden_secded_kernel_aware.csv,word,8,1.0,2
C2,chipkill,kernel_aware,default,1,campaign,drop_frame,case_C2_chipkill_kernel_aware_default_seed1.log,0,golden_chipkill_kernel_aware.csv,word,8,1.0,2
C3,none,uniform,default,1,campaign,drop_frame,case_C3_none_uniform_default_seed1.log,0,golden_none_kernel_aware.csv,device,8,1.0,4
C3,secded,kernel_aware,default,1,campaign,drop_frame,case_C3_secded_kernel_aware_default_seed1.log,0,golden_secded_kernel_aware.csv,device,8,1.0,4
C3,chipkill,kernel_aware,default,1,campaign,drop_frame,case_C3_chipkill_kernel_aware_default_seed1.log,0,golden_chipkill_kernel_aware.csv,device,8,1.0,4
C4,none,uniform,default,1,campaign,drop_frame,case_C4_none_uniform_default_seed1.log,0,golden_none_kernel_aware.csv,multi_chip,8,1.0,8
C4,secded,kernel_aware,default,1,campaign,drop_frame,case_C4_secded_kernel_aware_default_seed1.log,0,golden_secded_kernel_aware.csv,multi_chip,8,1.0,8
C4,chipkill,kernel_aware,default,1,campaign,drop_frame,case_C4_chipkill_kernel_aware_default_seed1.log,0,golden_chipkill_kernel_aware.csv,multi_chip,8,1.0,8
C2,secded,kernel_aware,fast,1,campaign,drop_frame,case_C2_secded_kernel_aware_fast_seed1.log,0,golden_secded_kernel_aware.csv,word,8,1.0,2
C2,secded,kernel_aware,default,1,campaign,drop_frame,case_C2_secded_kernel_aware_default_seed1.log,0,golden_secded_kernel_aware.csv,word,8,1.0,2
C2,secded,kernel_aware,strict,1,campaign,drop_frame,case_C2_secded_kernel_aware_strict_seed1.log,0,golden_secded_kernel_aware.csv,word,8,1.0,2
C1,none,uniform,default,2,campaign,drop_frame,case_C1_none_uniform_default_seed2.log,0,golden_none_kernel_aware.csv,cell,8,1.0,1
C1,none,uniform,default,3,campaign,drop_frame,case_C1_none_uniform_default_seed3.log,0,golden_none_kernel_aware.csv,cell,8,1.0,1
C1,secded,kernel_aware,default,2,campaign,drop_frame,case_C1_secded_kernel_aware_default_seed2.log,0,golden_secded_kernel_aware.csv,cell,8,1.0,1
C1,secded,kernel_aware,default,3,campaign,drop_frame,case_C1_secded_kernel_aware_default_seed3.log,0,golden_secded_kernel_aware.csv,cell,8,1.0,1
C1,chipkill,kernel_aware,default,2,campaign,drop_frame,case_C1_chipkill_kernel_aware_default_seed2.log,0,golden_chipkill_kernel_aware.csv,cell,8,1.0,1
C1,chipkill,kernel_aware,default,3,campaign,drop_frame,case_C1_chipkill_kernel_aware_default_seed3.log,0,golden_chipkill_kernel_aware.csv,cell,8,1.0,1
C2,none,uniform,default,2,campaign,drop_frame,case_C2_none_uniform_default_seed2.log,0,golden_none_kernel_aware.csv,word,8,1.0,2
C2,none,uniform,default,3,campaign,drop_frame,case_C2_none_uniform_default_seed3.log,0,golden_none_kernel_aware.csv,word,8,1.0,2
C2,secded,kernel_aware,default,2,campaign,drop_frame,case_C2_secded_kernel_aware_default_seed2.log,0,golden_secded_kernel_aware.csv,word,8,1.0,2
C2,secded,kernel_aware,default,3,campaign,drop_frame,case_C2_secded_kernel_aware_default_seed3.log,0,golden_secded_kernel_aware.csv,word,8,1.0,2
C2,chipkill,kernel_aware,default,2,campaign,drop_frame,case_C2_chipkill_kernel_aware_default_seed2.log,0,golden_chipkill_kernel_aware.csv,word,8,1.0,2
C2,chipkill,kernel_aware,default,3,campaign,drop_frame,case_C2_chipkill_kernel_aware_default_seed3.log,0,golden_chipkill_kernel_aware.csv,word,8,1.0,2
C3,none,uniform,default,2,campaign,drop_frame,case_C3_none_uniform_default_seed2.log,0,golden_none_kernel_aware.csv,device,8,1.0,4
C3,none,uniform,default,3,campaign,drop_frame,case_C3_none_uniform_default_seed3.log,0,golden_none_kernel_aware.csv,device,8,1.0,4
C3,secded,kernel_aware,default,2,campaign,drop_frame,case_C3_secded_kernel_aware_default_seed2.log,0,golden_secded_kernel_aware.csv,device,8,1.0,4
C3,secded,kernel_aware,default,3,campaign,drop_frame,case_C3_secded_kernel_aware_default_seed3.log,0,golden_secded_kernel_aware.csv,device,8,1.0,4
C3,chipkill,kernel_aware,default,2,campaign,drop_frame,case_C3_chipkill_kernel_aware_default_seed2.log,0,golden_chipkill_kernel_aware.csv,device,8,1.0,4
C3,chipkill,kernel_aware,default,3,campaign,drop_frame,case_C3_chipkill_kernel_aware_default_seed3.log,0,golden_chipkill_kernel_aware.csv,device,8,1.0,4
C4,none,uniform,default,2,campaign,drop_frame,case_C4_none_uniform_default_seed2.log,0,golden_none_kernel_aware.csv,multi_chip,8,1.0,8
C4,none,uniform,default,3,campaign,drop_frame,case_C4_none_uniform_default_seed3.log,0,golden_none_kernel_aware.csv,multi_chip,8,1.0,8
C4,secded,kernel_aware,default,2,campaign,drop_frame,case_C4_secded_kernel_aware_default_seed2.log,0,golden_secded_kernel_aware.csv,multi_chip,8,1.0,8
C4,secded,kernel_aware,default,3,campaign,drop_frame,case_C4_secded_kernel_aware_default_seed3.log,0,golden_secded_kernel_aware.csv,multi_chip,8,1.0,8
C4,chipkill,kernel_aware,default,2,campaign,drop_frame,case_C4_chipkill_kernel_aware_default_seed2.log,0,golden_chipkill_kernel_aware.csv,multi_chip,8,1.0,8
C4,chipkill,kernel_aware,default,3,campaign,drop_frame,case_C4_chipkill_kernel_aware_default_seed3.log,0,golden_chipkill_kernel_aware.csv,multi_chip,8,1.0,8
C2,secded,kernel_aware,fast,2,campaign,drop_frame,case_C2_secded_kernel_aware_fast_seed2.log,0,golden_secded_kernel_aware.csv,word,8,1.0,2
C2,secded,kernel_aware,fast,3,campaign,drop_frame,case_C2_secded_kernel_aware_fast_seed3.log,0,golden_secded_kernel_aware.csv,word,8,1.0,2
C2,secded,kernel_aware,strict,2,campaign,drop_frame,case_C2_secded_kernel_aware_strict_seed2.log,0,golden_secded_kernel_aware.csv,word,8,1.0,2
C2,secded,kernel_aware,strict,3,campaign,drop_frame,case_C2_secded_kernel_aware_strict_seed3.log,0,golden_secded_kernel_aware.csv,word,8,1.0,2
